Organisation,Town,Company Focus (Microbiome-Related Work),Sector,Funding_Stage,Focus,Target_Area,Relevant,Latitude,Longitude
nexabiome,glasgow,develops stabilized bacteriophage technology to solve bacterial challenges in health and industry – immobilizing phages to create long-lasting antimicrobials that target specific microbes.,biotechnology,Private,antibiotics,gut,1,55.861155,-4.2501687
procarta biosystems,norwich,pioneering sequence-specific antimicrobials (dna “smart” molecules) that target pathogens and spare the microbiome. developing new drugs to combat antibiotic-resistant bacteria without disturbing healthy microbiota.,biotechnology,Series A,antibiotics,gut,1,52.6285576,1.2923954
iff (intl. flavors & fragrances),haverhill,"the industrial biotechnology innovation centre – supports r&d and startups in industrial biotech, including projects on microbial fermentation and microbiome applications for sustainable products.",consumer,Public,consumer (generic),agnostic,0,52.0832721,0.4353932
p&g (procter & gamble),egham,consumer goods giant incorporating microbiome science into products – e.g. probiotic supplements (align) for gut health and microbiome-friendly skincare in brands like olay. also researches oral microbiome for oral care products.,consumer,Public,consumer (generic),agnostic,0,51.4312585,-0.5473085
reckitt (rb),slough,"consumer health company whose portfolio (mead johnson, etc.) integrates microbiome science – e.g. adding prebiotics and human milk oligosaccharides to infant formula to mimic breast milk’s microbiome benefits.",consumer,Public,consumer (generic),agnostic,0,51.50342695,-0.5748721523852964
unilever,london,"consumer goods conglomerate investing in microbiome science for its products. unilever’s r&d explores skin microbiome-friendly personal care (invested in gallinée) and fermented foods for gut health, to inform new product development​professionalbeauty.com.au.",consumer,Public,consumer (generic),agnostic,0,51.4893335,-0.1440550845276872
eagle genomics,cambridge,"provides a software platform (e[datascientist]™) that uses ai to analyze microbiome data and other life science datasets, helping companies derive insights from complex microbiome science.",bioinformatics,Series B,data platform,agnostic,1,52.2055314,0.1186637
fios genomics,edinburgh,provides bioinformatics analysis services for pharma and academia – handles large-scale microbiome sequencing data and multi-omics to aid drug discovery and research​.,bioinformatics,Private,data platform,agnostic,1,55.9533456,-3.1883749
lifebit biotech,london,"created a federated cloud platform (lifebit cloudos) that lets researchers securely access and analyze large-scale biomedical data, including microbiome genomic datasets, for drug discovery and precision medicine​techcrunch.com.",bioinformatics,Series B,data platform,gut,1,51.4893335,-0.1440550845276872
ai vivo,cambridge,"uses ai-driven simulation to discover how compounds affect the gut microbiome and host, aiming to repurpose drugs and find microbiome-targeted therapeutics (in silico approach).",biotechnology,Unknown,data platform,gut,1,52.2055314,0.1186637
alphabiomics,london,developing precision medicine solutions based on patients’ gut microbiome to deliver safer and more effective drug therapies​uk.linkedin.com.,biotechnology,Seed,diagnostics,gut,1,51.4893335,-0.1440550845276872
biome oxford,oxford,university spinout using engineered microbes to deliver therapies – e.g. creating genetically modified gut bacteria to sense and treat diseases from within the microbiome.,biotechnology,Seed,diagnostics,gut,1,51.7520131,-1.2578499
